1: Cell Index,2: Num Nuclei,1: Cell Length,2: Nuc Area,1: Cell Area,2/2: Mean Nuc Int,1: Cell Width,2: Whole Cell Int,2: Background Int,2/2: BkgdSubt Nuc Int,2: BkgdSubt WC Int
1,1,8.10418368980438,13.0790970505758,20.0100974242084,0,3.21324159607309,273.108745684695,245,-245,28.1087456846951
2,1,11.9746815277332,3.4539868971591,28.1154533428751,544.033333333333,3.14202206816466,312.558149058149,245,299.033333333333,67.5581490581491
3,1,14.2482471788763,22.209135748733,35.3112593786232,0,3.31542813599339,300.198891424845,245,-245,55.1988914248451
4,1,13.8684598264074,20.7124080932974,34.0563108059887,0,3.2193866744778,281.637592968222,245,-245,36.6375929682218
5,1,8.63143178157815,12.5494857263447,19.1811405688902,0,3.00217353355797,286.399759903962,245,-245,41.3997599039616
6,1,9.47808378634976,5.52637903545456,22.9574995764508,0,3.24625030383009,269.829488465396,245,-245,24.8294884653962
7,1,13.6478138857379,4.00662480070456,32.5480698608959,394.525862068966,3.20438247813638,272.10541209763,245,149.525862068966,27.10541209763
8,1,7.33297126055118,9.56754370513071,19.0775209619754,0,3.41021505602974,247.837054918527,245,-245,2.83705491852746
9,1,12.9903594607658,4.2253773041913,32.2717509091232,449.049046321526,3.31893190346217,305.953621120228,245,204.049046321526,60.9536211202283
10,1,13.301632930156,20.9081340174698,34.9658606889073,0,3.44890877927282,280.952255515311,245,-245,35.9522555153112
11,1,10.9588202506363,4.2138640145341,25.9624681769792,470.03825136612,3.14253490833251,299.79955654102,245,225.03825136612,54.79955654102
12,1,9.34537937227595,3.4424736075019,22.9574995764508,428.397993311037,3.19352577669801,294.138415245737,245,183.397993311037,49.1384152457372
13,1,14.4833852733056,4.25991717316289,34.1138772542747,425.289189189189,3.13272728720067,293.485993925076,245,180.289189189189,48.4859939250759
14,1,16.2913500917495,25.7206890941781,43.5087216145475,0,3.50409038110555,253.261709446944,245,-245,8.26170944694363
15,1,8.19671667522757,12.330733222858,21.679524424502,0,3.45926039301714,297.181093998938,245,-245,52.1810939989379
16,1,9.45294379076909,17.1432882995663,24.2930411766857,0,3.41507362774747,245.062559241706,245,-245,0.0625592417061682
17,1,14.0237318513814,3.36188057990152,32.9855748678694,444.561643835616,3.14622549966844,315.695287958115,245,199.561643835616,70.6952879581152
18,1,10.5113962927593,3.61517295235986,24.546333549144,557.006369426752,3.05742350065006,332.859756097561,245,312.006369426752,87.859756097561
19,1,9.96318399453937,3.78787229721781,24.1433684111421,371.215805471125,3.23754017383625,285.559370529328,245,126.215805471125,40.5593705293276
20,2,12.034550276599,2.85529583498486,31.6385199779774,491.45564516129,3.42569720747798,338.093522561863,245,246.45564516129,93.0935225618632
21,2,13.467305058951,3.41944702818751,36.8425269030304,694.343434343434,3.6563457721614,431.8971875,245,449.343434343434,186.8971875
22,1,7.38365074075141,10.1777480569621,18.3752102928864,0,3.28464476700613,294.179824561404,245,-245,49.1798245614035
23,1,13.9991216982867,6.32079602180115,35.4954720131384,435.271402550091,3.35382824844348,304.552059682128,245,190.271402550091,59.5520596821278
24,1,9.43285151775872,10.0856417397046,24.4196873629148,0,3.42139537493948,261.648750589345,245,-245,16.6487505893447
25,1,9.4320082325761,3.62668624201706,23.9821823559414,502.631746031746,3.41293129879648,330.340854536726,245,257.631746031746,85.3408545367259
26,1,14.4075204752327,21.0693200726705,36.76193387543,0,3.39683466216885,250.836517381773,245,-245,5.83651738177264
27,1,7.58562888875019,13.4475223196061,19.4459462310057,0,3.36441100820589,306.031379514506,245,-245,61.0313795145056
28,2,13.408618497836,2.79772938669887,32.9855748678694,499.40329218107,3.2578271581004,348.955322862129,245,254.40329218107,103.955322862129
29,1,12.3960468575639,4.17932414556251,28.7601975636781,474.661157024793,3.05960071999694,330.572858286629,245,229.661157024793,85.5728582866293
30,1,10.792912907572,3.62668624201706,26.3308934460095,570.149206349206,3.21550970627202,341.499344118933,245,325.149206349206,96.4993441189331
31,1,13.9696588214123,25.6400960665777,36.1287029442842,0,3.38275465054569,290.580943275972,245,-245,45.5809432759719
32,1,8.57786165089641,7.43758511854926,20.0906904518088,0,3.11462044161734,287.826934097421,245,-245,42.8269340974212
33,1,10.3772584736464,3.60365966270266,25.1565379009754,448.035143769968,3.18092937095635,284.491533180778,245,203.035143769968,39.491533180778
34,1,14.5752381141211,29.6467208672823,37.9362894204641,0,3.44305045837603,259.83277693475,245,-245,14.8327769347496
