1: Cell Index,2: Num Nuclei,1: Cell Length,2: Nuc Area,1: Cell Area,2/2: Mean Nuc Int,1: Cell Width,2: Whole Cell Int,2: Background Int,2/2: BkgdSubt Nuc Int,2: BkgdSubt WC Int
34,2,3238862.50787062,621289080000,2027737880000,0,821308.682988806,86.7114222080814,94,-94,-7.28857779191856
35,1,3184128.41554737,1299352240000,2038060440000,0,849444.339885301,91.5868945868946,94,-94,-2.41310541310541
36,1,2712584.34628416,389676640000,1647738640000,0,803553.98654978,88.6730618637431,94,-94,-5.32693813625686
37,1,2703748.72734435,794191960000,1657416040000,0,821515.735914344,83.5387310237446,94,-94,-10.4612689762554
38,3,4880101.04895367,695482480000,3009671400000,0,833570.775753848,89.496463022508,94,-94,-4.50353697749196
39,2,3841636.71163481,153548080000,2463866040000,93.2058823529412,870684.500132494,89.6284367635507,94,-0.794117647058826,-4.37156323644933
40,2,4024283.42424171,1215481440000,2473543440000,0,849458.330883374,91.5529473135107,94,-94,-2.4470526864893
41,3,3949427.33527259,147741640000,2530962680000,95.9082969432314,865034.835308339,90.8615855212847,94,1.90829694323143,-3.13841447871526
42,1,4873952.59793893,1875480120000,3252251560000,0,884480.654109296,88.1993652053164,94,-94,-5.80063479468359
43,2,5319499.31249106,1032901160000,3275477320000,0,840654.642039845,89.7792003151467,94,-94,-4.22079968485326
44,1,4665128.66281153,1939350960000,2918703840000,0,837723.05783414,85.1019009725906,94,-94,-8.89809902740937
45,2,3782785.7258185,1374835960000,2218705240000,0,812303.990451875,94.6533876126781,94,-94,0.653387612678102
46,1,2896560.58514746,1278707120000,1882576880000,0,848930.372610768,87.9790952707334,94,-94,-6.02090472926662
47,2,3394735.10855714,172902880000,2339995320000,96.0522388059701,907400.224333649,89.4722911497105,94,2.05223880597015,-4.5277088502895
48,1,3356835.66681033,1274836160000,2065802320000,0,798199.771248344,87.0874453466583,94,-94,-6.91255465334166
49,2,2904504.29380771,118709440000,1878060760000,89.6576086956522,852375.507741089,85.499484713157,94,-4.34239130434783,-8.50051528684301
50,2,4589133.02533905,208386680000,2333543720000,99.297213622291,896950.918058598,87.7622338954935,94,5.29721362229103,-6.23776610450649
51,1,4240105.89745041,1889673640000,2690962360000,0,840506.472635483,90.819228002877,94,-94,-3.18077199712299
52,1,3842823.64085924,1360642440000,2465801520000,0,852469.809339798,89.5787545787546,94,-94,-4.42124542124542
53,2,4969791.51047999,1185158920000,3228380640000,0,861664.210151752,93.5225819344524,94,-94,-0.477418065547567
54,1,2196353.27457256,716772760000,1336771520000,0,804611.116384328,85.550193050193,94,-94,-8.44980694980696
55,1,2993284.84909274,1041933400000,1869673680000,0,827785.003086609,89.627674258109,94,-94,-4.37232574189096
56,2,3064666.78748993,414837880000,1919996160000,0,827653.283887277,89.2980510752688,94,-94,-4.70194892473118
57,2,4006593.15724639,494192560000,2418059680000,0,804708.091295452,93.9180896478122,94,-94,-0.0819103521878333
58,2,2859915.80371001,483224840000,1672254720000,0,777421.34054073,93.0231481481482,94,-94,-0.976851851851848
59,1,4382635.62779578,2177415000000,2735478400000,0,821957.669943358,92.4735849056604,94,-94,-1.52641509433963
60,1,3091958.90088832,1070965600000,2021931440000,0,861743.499143053,87.4690491384812,94,-94,-6.53095086151883
61,1,4832214.05953511,1852899520000,3083219640000,0,839162.455378504,90.0747018204645,94,-94,-3.92529817953547
62,1,3026681.78785024,1303868360000,1827093120000,0,797132.000528944,91.6762005649718,94,-94,-2.32379943502825
63,2,5097016.02039861,1818706040000,3159993680000,0,849630.514986926,94.8576970191915,94,-94,0.857697019191505
64,1,2889172.02585125,935482000000,1756770680000,0,807197.038669707,85.9052515607786,94,-94,-8.09474843922145
65,1,3452017.15141787,1576125880000,2143866680000,0,817380.273907605,87.8203430634968,94,-94,-6.17965693650316
66,1,3054169.35976969,1177417000000,2001286320000,0,868218.271202915,88.1921341070277,94,-94,-5.80786589297227
67,1,4444422.17611995,1951609000000,2744510640000,0,816121.129724721,92.0519511048425,94,-94,-1.9480488951575
68,1,4834465.840475,2014834680000,3089026080000,0,846709.64615999,90.4985380116959,94,-94,-3.50146198830409
69,2,2778308.81212146,410966920000,1609029040000,0,762297.447223001,87.0493183640738,94,-94,-6.95068163592622
70,1,4265243.36193393,1410964920000,2724510680000,0,849342.080721731,86.0871418422922,94,-94,-7.91285815770779
71,1,3192204.02593261,987739960000,1854189840000,0,778344.702943907,90.73208072373,94,-94,-3.26791927627001
72,1,4460829.2423522,1844512440000,2675478520000,0,803126.137182406,93.3520617313721,94,-94,-0.647938268627925
73,3,4851408.11324629,612256840000,3279348280000,90.6765015806112,892156.611882051,84.3474326185324,94,-3.32349841938883,-9.65256738146763
74,1,3071654.8032668,1193546000000,1974834760000,0,849201.737033192,90.0692584122836,94,-94,-3.93074158771643
75,1,4500994.22034623,1759351320000,2789671840000,0,813804.336954223,91.4394079555967,94,-94,-2.56059204440334
76,3,5139552.39377044,1049030160000,3127735680000,0,856733.361778574,94.6889438943894,94,-94,0.688943894389439
77,2,3603620.33737359,496128040000,2252898720000,0,824863.257198339,91.3293241695304,94,-94,-2.67067583046965
78,1,2918668.69675111,1145159000000,1859996280000,0,845436.271864898,94.4425945195976,94,-94,0.442594519597648
79,1,3563066.96362289,1522577600000,2182576280000,0,802215.373790293,89.419154596512,94,-94,-4.58084540348803
80,3,4792359.7878268,606450400000,2996123040000,0,827299.589606882,88.0915159345392,94,-94,-5.90848406546081
81,2,3116173.50534664,535482800000,1948383200000,0,869224.392700726,93.0698675496689,94,-94,-0.930132450331129
82,5,5327725.40139474,319354200000,2545801360000,98.620202020202,736625.168098076,96.0818550430816,94,4.62020202020202,2.0818550430816
83,1,2911689.25001543,1116771960000,1738706200000,0,787491.266935754,90.621521335807,94,-94,-3.37847866419295
84,1,5169769.14374161,2347092080000,3363864240000,0,878276.776970547,92.8718833908707,94,-94,-1.12811660912926
85,2,4755040.02801814,183225440000,2935478000000,93.4823943661972,822180.401534341,89.0665934065934,94,-0.517605633802816,-4.93340659340659
86,1,2437941.15449503,985159320000,1543867880000,0,841135.323905132,92.1621395737568,94,-94,-1.83786042624321
87,2,2830017.63210084,680643800000,1805802840000,0,846141.472715685,90.5605573419078,94,-94,-3.43944265809218
88,2,2526156.20275798,520644120000,1651609600000,0,850016.914594098,89.657421875,94,-94,-4.342578125
89,1,2595961.71930729,792256480000,1451610000000,0,747902.66193773,94.4431111111111,94,-94,0.443111111111108
90,1,3264822.05753628,1192900840000,2000641160000,0,803130.041625335,90.2757175104805,94,-94,-3.72428248951951
91,1,2785983.86246715,1255481360000,1792254480000,0,869720.973217531,88.6933045356372,94,-94,-5.30669546436285
92,1,5285403.46813352,2054834600000,3463864040000,0,868115.706843593,90.8802384056621,94,-94,-3.11976159433786
93,1,5408617.70571122,2070963600000,3416767360000,0,846168.880427629,89.2160120845922,94,-94,-4.78398791540785
94,3,2988461.04910708,353547680000,1958060600000,91.3594890510949,865046.579851277,85.5690280065898,94,-2.6405109489051,-8.43097199341021
95,1,2719315.50495211,1148384800000,1444513240000,0,800739.659245235,95.4140241179098,94,-94,1.41402411790978
96,3,4792779.1566032,374192800000,3019993960000,97.7206896551724,832304.561012222,93.15958128605,94,3.72068965517241,-0.840418713950015
97,2,2650744.60284195,943869080000,1869028520000,0,1004137.69505027,91.5036244390749,94,-94,-2.49637556092509
98,2,3653366.67770878,670321240000,2114834480000,0,770100.606589431,92.2620500305064,94,-94,-1.7379499694936
